stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
BR,2024-06-30,2024-08-06,3.5,3.49,0.01,0.2865
BR,2024-03-31,2024-05-08,2.23,2.24,-0.01,-0.4464
BR,2023-12-31,2024-02-01,0.92,0.89,0.03,3.3708
BR,2023-09-30,2023-11-02,1.09,0.97,0.12,12.3711
BR,2023-06-30,2023-08-08,3.21,3.1,0.11,3.5484
BR,2023-03-31,2023-05-02,2.05,2.03,0.02,0.9852
BR,2022-12-31,2023-02-02,0.91,0.9,0.01,1.1111
BR,2022-09-30,2022-11-02,0.84,0.88,-0.04,-4.5455
BR,2022-06-30,2022-08-12,2.65,2.62,0.03,1.145
BR,2022-03-31,2022-05-03,1.93,1.78,0.15,8.427
BR,2021-12-31,2022-02-01,0.82,0.82,0,0
BR,2021-09-30,2021-11-03,1.07,0.97,0.1,10.3093
BR,2021-06-30,2021-08-12,2.19,2.19,0,0
BR,2021-03-31,2021-05-04,1.76,1.68,0.08,4.7619
BR,2020-12-31,2021-02-02,0.73,0.69,0.04,5.7971
BR,2020-09-30,2020-10-30,0.98,0.63,0.35,55.5556
BR,2020-06-30,2020-08-11,2.15,2.09,0.06,2.8708
BR,2020-03-31,2020-05-08,1.67,1.7,-0.03,-1.7647
BR,2019-12-31,2020-01-31,0.53,0.71,-0.18,-25.3521
BRO,2025-03-31,2025-04-28,1.29,1.3,-0.01,-0.7692
BRO,2024-12-31,2025-01-27,0.86,0.77,0.09,11.6883
BRO,2024-09-30,2024-10-28,0.91,0.88,0.03,3.4091
BRO,2024-06-30,2024-07-22,0.93,0.88,0.05,5.6818
BRO,2024-03-31,2024-04-22,1.14,1.05,0.09,8.5714
BRO,2023-12-31,2024-01-22,0.58,0.53,0.05,9.434
BRO,2023-09-30,2023-10-23,0.71,0.62,0.09,14.5161
BRO,2023-06-30,2023-07-24,0.68,0.59,0.09,15.2542
BRO,2023-03-31,2023-04-24,0.84,0.82,0.02,2.439
BRO,2022-12-31,2023-01-23,0.5,0.46,0.04,8.6957
BRO,2022-09-30,2022-10-24,0.5,0.61,-0.11,-18.0328
BRO,2022-06-30,2022-07-25,0.51,0.49,0.02,4.0816
BRO,2022-03-31,2022-04-25,0.78,0.75,0.03,4
BRO,2021-12-31,2022-01-24,0.42,0.39,0.03,7.6923
BRO,2021-09-30,2021-10-25,0.58,0.53,0.05,9.434
BRO,2021-06-30,2021-07-26,0.49,0.4,0.09,22.5
BRO,2021-03-31,2021-04-26,0.7,0.58,0.12,20.6897
BRO,2020-12-31,2021-01-25,0.32,0.29,0.03,10.3448
BRO,2020-09-30,2020-10-26,0.52,0.43,0.09,20.9302
BRO,2020-06-30,2020-07-27,0.34,0.28,0.06,21.4286
BRO,2020-03-31,2020-04-27,0.51,0.46,0.05,10.8696
BRO,2019-12-31,2020-01-27,0.28,0.27,0.01,3.7037
BSX,2025-03-31,2025-04-23,0.75,0.67,0.08,11.9403
BSX,2024-12-31,2025-02-05,0.7,0.66,0.04,6.0606
BSX,2024-09-30,2024-10-23,0.63,0.59,0.04,6.7797
BSX,2024-06-30,2024-07-24,0.62,0.58,0.04,6.8966
BSX,2024-03-31,2024-04-24,0.56,0.51,0.05,9.8039
BSX,2023-12-31,2024-01-31,0.55,0.51,0.04,7.8431
BSX,2023-09-30,2023-10-26,0.5,0.48,0.02,4.1667
BSX,2023-06-30,2023-07-27,0.53,0.49,0.04,8.1633
BSX,2023-03-31,2023-04-26,0.47,0.44,0.03,6.8182
BSX,2022-12-31,2023-02-01,0.49,0.47,0.02,4.2553
BSX,2022-09-30,2022-10-26,0.43,0.44,-0.01,-2.2727
BSX,2022-06-30,2022-07-27,0.44,0.42,0.02,4.7619
BSX,2022-03-31,2022-04-27,0.39,0.39,0,0
BSX,2021-12-31,2022-02-02,0.45,0.44,0.01,2.2727
BSX,2021-09-30,2021-10-27,0.41,0.4,0.01,2.5
BSX,2021-06-30,2021-07-27,0.4,0.37,0.03,8.1081
BSX,2021-03-31,2021-04-28,0.37,0.31,0.06,19.3548
BSX,2020-12-31,2021-02-03,0.23,0.31,-0.08,-25.8065
BSX,2020-09-30,2020-10-28,0.37,0.25,0.12,48
BSX,2020-06-30,2020-07-29,0.08,-0.02,0.1,500
BSX,2020-03-31,2020-04-29,0.28,0.31,-0.03,-9.6774
BSX,2019-12-31,2020-02-05,0.46,0.44,0.02,4.5455
BWA,2025-03-31,2025-05-07,1.11,0.97,0.14,14.433
BWA,2024-12-31,2025-02-06,-1.85,0.84,-2.69,-320.2381
BWA,2024-09-30,2024-10-31,1.09,0.93,0.16,17.2043
BWA,2024-06-30,2024-07-31,1.19,1.01,0.18,17.8218
BWA,2024-03-31,2024-05-02,1.03,0.87,0.16,18.3908
BWA,2023-12-31,2024-02-08,0.9,0.94,-0.04,-4.2553
BWA,2023-09-30,2023-11-02,0.98,0.94,0.04,4.2553
BWA,2023-06-30,2023-08-02,1.35,1.08,0.27,25
BWA,2023-03-31,2023-05-04,1.09,1.11,-0.02,-1.8018
BWA,2022-12-31,2023-02-09,1.26,1.08,0.18,16.6667
BWA,2022-09-30,2022-10-27,1.24,1.04,0.2,19.2308
BWA,2022-06-30,2022-08-03,1.05,0.85,0.2,23.5294
BWA,2022-03-31,2022-05-04,1.05,0.87,0.18,20.6897
BWA,2021-12-31,2022-02-15,1.06,0.75,0.31,41.3333
BWA,2021-09-30,2021-11-03,0.8,0.72,0.08,11.1111
BWA,2021-06-30,2021-08-04,1.08,0.81,0.27,33.3333
BWA,2021-03-31,2021-05-05,1.21,0.92,0.29,31.5217
BWA,2020-12-31,2021-02-11,1.18,0.93,0.25,26.8817
BWA,2020-09-30,2020-10-29,0.88,0.75,0.13,17.3333
BWA,2020-06-30,2020-08-05,-0.14,-0.45,0.31,68.8889
BWA,2020-03-31,2020-05-06,0.77,0.5,0.27,54
BWA,2019-12-31,2020-02-13,1.17,1.03,0.14,13.5922
BXP,2025-03-31,2025-04-29,0.4,0.33,0.07,21.2121
BXP,2024-12-31,2025-01-28,0.71,0.44,0.27,61.3636
BXP,2024-09-30,2024-10-29,0.51,0.48,0.03,6.25
BXP,2024-06-30,2024-07-30,0.5,0.45,0.05,11.1111
BXP,2024-03-31,2024-04-30,0.44,0.47,-0.03,-6.383
BXP,2023-12-31,2024-01-30,0.57,0.62,-0.05,-8.0645
BXP,2023-09-30,2023-11-01,-0.71,0.63,-1.34,-212.6984
BXP,2023-06-30,2023-08-01,0.65,0.59,0.06,10.1695
BXP,2023-03-31,2023-04-25,0.48,0.48,0,0
BXP,2022-12-31,2023-01-31,0.34,0.64,-0.3,-46.875
BXP,2022-09-30,2022-10-25,0.64,0.73,-0.09,-12.3288
BXP,2022-06-30,2022-07-26,0.84,0.78,0.06,7.6923
BXP,2022-03-31,2022-05-02,0.78,0.65,0.13,20
BXP,2021-12-31,2022-01-25,0.72,0.5,0.22,44
BXP,2021-09-30,2021-10-26,0.69,0.62,0.07,11.2903
BXP,2021-06-30,2021-07-27,0.71,0.58,0.13,22.4138
BXP,2021-03-31,2021-04-27,0.59,0.56,0.03,5.3571
BXP,2020-12-31,2021-01-26,0.62,0.58,0.04,6.8966
BXP,2020-09-30,2020-10-27,0.58,0.53,0.05,9.434
BXP,2020-06-30,2020-07-28,0.74,0.52,0.22,42.3077
BXP,2020-03-31,2020-04-28,0.83,0.81,0.02,2.4691
BXP,2019-12-31,2020-01-28,0.92,0.9,0.02,2.2222
C,2025-03-31,2025-04-15,1.96,1.85,0.11,5.9459
C,2024-12-31,2025-01-15,1.34,1.22,0.12,9.8361
C,2024-09-30,2024-10-15,1.51,1.31,0.2,15.2672
C,2024-06-30,2024-07-12,1.52,1.41,0.11,7.8014
C,2024-03-31,2024-04-12,1.58,1.17,0.41,35.0427
C,2023-12-31,2024-01-12,-1.16,0.6,-1.76,-293.3333
C,2023-09-30,2023-10-13,1.63,1.25,0.38,30.4
C,2023-06-30,2023-07-14,1.33,1.33,0,0
C,2023-03-31,2023-04-14,2.19,1.68,0.51,30.3571
C,2022-12-31,2023-01-13,1.16,1.2,-0.04,-3.3333
C,2022-09-30,2022-10-14,1.63,1.43,0.2,13.986
C,2022-06-30,2022-07-15,2.19,1.68,0.51,30.3571
C,2022-03-31,2022-04-14,2.02,1.46,0.56,38.3562
C,2021-12-31,2022-01-14,1.46,1.44,0.02,1.3889
C,2021-09-30,2021-10-14,2.15,1.76,0.39,22.1591
C,2021-06-30,2021-07-14,2.85,1.96,0.89,45.4082
C,2021-03-31,2021-04-15,3.62,2.59,1.03,39.7683
C,2020-12-31,2021-01-15,2.08,1.36,0.72,52.9412
C,2020-09-30,2020-10-13,1.4,0.91,0.49,53.8462
C,2020-06-30,2020-07-14,0.5,0.4,0.1,25
C,2020-03-31,2020-04-15,1.05,1.47,-0.42,-28.5714
C,2019-12-31,2020-01-14,2.15,1.81,0.34,18.7845
CAG,2025-02-28,2025-04-03,0.51,0.53,-0.02,-3.7736
CAG,2024-11-30,2024-12-19,0.7,0.67,0.03,4.4776
CAG,2024-08-31,2024-10-02,0.53,0.6,-0.07,-11.6667
CAG,2024-05-31,2024-07-11,0.61,0.57,0.04,7.0175
CAG,2024-02-29,2024-04-04,0.69,0.65,0.04,6.1538
CAG,2023-11-30,2024-01-04,0.71,0.68,0.03,4.4118
CAG,2023-08-31,2023-10-05,0.66,0.6,0.06,10
CAG,2023-05-31,2023-07-13,0.62,0.59,0.03,5.0847
CAG,2023-02-28,2023-04-05,0.76,0.64,0.12,18.75
CAG,2022-11-30,2023-01-05,0.81,0.66,0.15,22.7273
CAG,2022-08-31,2022-10-06,0.57,0.52,0.05,9.6154
CAG,2022-05-31,2022-07-14,0.65,0.63,0.02,3.1746
CAG,2022-02-28,2022-04-07,0.58,0.58,0,0
CAG,2021-11-30,2022-01-06,0.64,0.68,-0.04,-5.8824
CAG,2021-08-31,2021-10-07,0.5,0.48,0.02,4.1667
CAG,2021-05-31,2021-07-13,0.54,0.52,0.02,3.8462
CAG,2021-02-28,2021-04-08,0.59,0.58,0.01,1.7241
CAG,2020-11-30,2021-01-07,0.81,0.74,0.07,9.4595
CAG,2020-08-31,2020-10-01,0.7,0.57,0.13,22.807
CAG,2020-05-31,2020-06-30,0.75,0.67,0.08,11.9403
CAG,2020-02-29,2020-03-31,0.47,0.49,-0.02,-4.0816
CAT,2025-03-31,2025-04-30,4.25,4.34,-0.09,-2.0737
CAT,2024-12-31,2025-01-30,5.14,5.03,0.11,2.1869
CAT,2024-09-30,2024-10-30,5.17,5.35,-0.18,-3.3645
CAT,2024-06-30,2024-08-06,5.99,5.54,0.45,8.1227
CAT,2024-03-31,2024-04-25,5.6,5.14,0.46,8.9494
CAT,2023-12-31,2024-02-05,5.23,4.75,0.48,10.1053
CAT,2023-09-30,2023-10-31,5.52,4.79,0.73,15.2401
CAT,2023-06-30,2023-08-01,5.55,4.58,0.97,21.179
CAT,2023-03-31,2023-04-27,4.91,3.79,1.12,29.5515
CAT,2022-12-31,2023-01-31,3.86,4.03,-0.17,-4.2184
CAT,2022-09-30,2022-10-27,3.95,3.17,0.78,24.6057
CAT,2022-06-30,2022-08-02,3.18,3.02,0.16,5.298
CAT,2022-03-31,2022-04-28,2.88,2.6,0.28,10.7692
CAT,2021-12-31,2022-01-28,2.69,2.26,0.43,19.0265
CAT,2021-09-30,2021-10-28,2.66,2.2,0.46,20.9091
CAT,2021-06-30,2021-07-30,2.6,2.41,0.19,7.8838
CAT,2021-03-31,2021-04-29,2.87,1.94,0.93,47.9381
CAT,2020-12-31,2021-01-29,2.12,1.49,0.63,42.2819
CAT,2020-09-30,2020-10-27,1.34,1.18,0.16,13.5593
CAT,2020-06-30,2020-07-31,1.03,0.72,0.31,43.0556
CAT,2020-03-31,2020-04-28,1.6,1.67,-0.07,-4.1916
CAT,2019-12-31,2020-01-31,2.63,2.38,0.25,10.5042
CB,2025-03-31,2025-04-22,3.68,3.23,0.45,13.9319
CB,2024-12-31,2025-01-28,6.02,5.45,0.57,10.4587
CB,2024-09-30,2024-10-29,5.72,4.99,0.73,14.6293
CB,2024-06-30,2024-07-23,5.38,5.15,0.23,4.466
CB,2024-03-31,2024-04-23,5.41,5.31,0.1,1.8832
CB,2023-12-31,2024-01-30,5.54,5.12,0.42,8.2031
CB,2023-09-30,2023-10-24,4.95,4.44,0.51,11.4865
CB,2023-06-30,2023-07-25,4.92,4.41,0.51,11.5646
CB,2023-03-31,2023-04-25,4.41,4.45,-0.04,-0.8989
CB,2022-12-31,2023-01-31,4.05,4.25,-0.2,-4.7059
CB,2022-09-30,2022-10-25,3.17,2.59,0.58,22.3938
CB,2022-06-30,2022-07-26,4.2,3.62,0.58,16.0221
CB,2022-03-31,2022-04-26,3.82,3.48,0.34,9.7701
