stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
CB,2021-12-31,2022-02-01,3.81,3.29,0.52,15.8055
CB,2021-09-30,2021-10-26,2.64,2.16,0.48,22.2222
CB,2021-06-30,2021-07-27,3.62,3.01,0.61,20.2658
CB,2021-03-31,2021-04-27,2.52,2.49,0.03,1.2048
CB,2020-12-31,2021-02-02,3.18,2.82,0.36,12.766
CB,2020-09-30,2020-10-27,2,2.19,-0.19,-8.6758
CB,2020-06-30,2020-07-28,-0.56,-0.66,0.1,15.1515
CB,2020-03-31,2020-04-21,2.68,2.57,0.11,4.2802
CB,2019-12-31,2020-02-04,2.28,2.12,0.16,7.5472
CBOE,2025-03-31,2025-05-02,2.5,2.36,0.14,5.9322
CBOE,2024-12-31,2025-02-07,2.1,2.12,-0.02,-0.9434
CBOE,2024-09-30,2024-11-01,2.22,2.19,0.03,1.3699
CBOE,2024-06-30,2024-08-02,2.15,2.1,0.05,2.381
CBOE,2024-03-31,2024-05-03,2.15,2.04,0.11,5.3922
CBOE,2023-12-31,2024-02-02,2.06,2.03,0.03,1.4778
CBOE,2023-09-30,2023-11-03,2.06,1.86,0.2,10.7527
CBOE,2023-06-30,2023-08-04,1.78,1.77,0.01,0.565
CBOE,2023-03-31,2023-05-05,1.9,1.87,0.03,1.6043
CBOE,2022-12-31,2023-02-03,1.8,1.76,0.04,2.2727
CBOE,2022-09-30,2022-11-04,1.74,1.65,0.09,5.4545
CBOE,2022-06-30,2022-07-29,1.67,1.69,-0.02,-1.1834
CBOE,2022-03-31,2022-04-29,1.73,1.68,0.05,2.9762
CBOE,2021-12-31,2022-02-04,1.7,1.54,0.16,10.3896
CBOE,2021-09-30,2021-10-29,1.45,1.44,0.01,0.6944
CBOE,2021-06-30,2021-07-30,1.38,1.36,0.02,1.4706
CBOE,2021-03-31,2021-04-30,1.53,1.4,0.13,9.2857
CBOE,2020-12-31,2021-02-05,1.21,1.23,-0.02,-1.626
CBOE,2020-09-30,2020-10-30,1.11,1.07,0.04,3.7383
CBOE,2020-06-30,2020-07-31,1.31,1.24,0.07,5.6452
CBOE,2020-03-31,2020-05-01,1.65,1.54,0.11,7.1429
CBOE,2019-12-31,2020-02-07,1.21,1.13,0.08,7.0796
CBRE,2025-03-31,2025-04-24,0.86,0.7631,0.0969,12.6982
CBRE,2024-12-31,2025-02-13,2.32,2.2337,0.0863,3.8635
CBRE,2024-09-30,2024-10-24,1.2,1.06,0.14,13.2075
CBRE,2024-06-30,2024-07-25,0.81,0.76,0.05,6.5789
CBRE,2024-03-31,2024-05-03,0.78,0.68,0.1,14.7059
CBRE,2023-12-31,2024-02-15,1.38,1.18,0.2,16.9492
CBRE,2023-09-30,2023-10-27,0.72,0.67,0.05,7.4627
CBRE,2023-06-30,2023-07-27,0.82,0.76,0.06,7.8947
CBRE,2023-03-31,2023-04-27,0.92,0.86,0.06,6.9767
CBRE,2022-12-31,2023-02-23,1.33,1.18,0.15,12.7119
CBRE,2022-09-30,2022-10-27,1.13,1.26,-0.13,-10.3175
CBRE,2022-06-30,2022-08-04,1.83,1.4,0.43,30.7143
CBRE,2022-03-31,2022-05-05,1.39,1.08,0.31,28.7037
CBRE,2021-12-31,2022-02-24,1.8,1.78,0.02,1.1236
CBRE,2021-09-30,2021-10-28,1.39,1.19,0.2,16.8067
CBRE,2021-06-30,2021-07-29,1.36,0.77,0.59,76.6234
CBRE,2021-03-31,2021-04-29,0.86,0.67,0.19,28.3582
CBRE,2020-12-31,2021-02-23,1.45,0.94,0.51,54.2553
CBRE,2020-09-30,2020-10-29,0.73,0.42,0.31,73.8095
CBRE,2020-06-30,2020-07-31,0.35,0.42,-0.07,-16.6667
CBRE,2020-03-31,2020-05-07,0.75,0.72,0.03,4.1667
CBRE,2019-12-31,2020-02-27,1.32,1.35,-0.03,-2.2222
CCI,2025-03-31,2025-04-30,-1.0597,-0.0115,-1.0482,-9114.7826
CCI,2024-12-31,2025-03-13,-10.97,0.4488,-11.4188,-2544.2959
CCI,2024-09-30,2024-10-16,0.7,0.67,0.03,4.4776
CCI,2024-06-30,2024-07-17,0.58,0.54,0.04,7.4074
CCI,2024-03-31,2024-04-17,0.71,0.71,0,0
CCI,2023-12-31,2024-01-24,0.83,0.75,0.08,10.6667
CCI,2023-09-30,2023-10-18,0.61,0.78,-0.17,-21.7949
CCI,2023-06-30,2023-07-19,1.05,1.05,0,0
CCI,2023-03-31,2023-04-19,0.97,0.91,0.06,6.5934
CCI,2022-12-31,2023-01-25,0.95,0.98,-0.03,-3.0612
CCI,2022-09-30,2022-10-19,0.97,0.97,0,0
CCI,2022-06-30,2022-07-20,0.97,0.96,0.01,1.0417
CCI,2022-03-31,2022-04-20,0.97,0.94,0.03,3.1915
CCI,2021-12-31,2022-01-26,0.81,0.78,0.03,3.8462
CCI,2021-09-30,2021-10-20,0.81,0.76,0.05,6.5789
CCI,2021-06-30,2021-07-21,0.77,0.69,0.08,11.5942
CCI,2021-03-31,2021-04-21,0.28,0.53,-0.25,-47.1698
CCI,2020-12-31,2021-01-27,0.34,0.63,-0.29,-46.0317
CCI,2020-09-30,2020-10-21,0.59,0.5,0.09,18
CCI,2020-06-30,2020-07-29,0.41,0.5,-0.09,-18
CCI,2020-03-31,2020-04-29,0.38,0.49,-0.11,-22.449
CCI,2019-12-31,2020-02-26,0.43,0.48,-0.05,-10.4167
CCL,2025-05-31,2025-06-24,0.35,0.24,0.11,45.8333
CCL,2025-02-28,2025-03-21,0.13,0.02,0.11,550
CCL,2024-11-30,2024-12-20,0.14,0.07,0.07,100
CCL,2024-08-31,2024-09-30,1.27,1.15,0.12,10.4348
CCL,2024-05-31,2024-06-25,0.11,-0.02,0.13,650
CCL,2024-02-29,2024-03-27,-0.14,-0.18,0.04,22.2222
CCL,2023-11-30,2023-12-21,-0.07,-0.13,0.06,46.1538
CCL,2023-08-31,2023-09-29,0.86,0.75,0.11,14.6667
CCL,2023-05-31,2023-06-26,-0.31,-0.34,0.03,8.8235
CCL,2023-02-28,2023-03-27,-0.55,-0.6,0.05,8.3333
CCL,2022-11-30,2022-12-21,-0.85,-0.87,0.02,2.2989
CCL,2022-08-31,2022-09-30,-0.58,-0.15,-0.43,-286.6667
CCL,2022-05-31,2022-06-24,-1.64,-1.17,-0.47,-40.1709
