Year,Quarter,Symbol,Company Name,Earnings Release Date
2025,Q4,ALGN,"Align Technology, Inc.",29-10-25
2020,Q1,ALK,"Alaska Air Group, Inc.",28-01-20
2020,Q2,ALK,"Alaska Air Group, Inc.",05-05-20
2020,Q3,ALK,"Alaska Air Group, Inc.",23-07-20
2020,Q4,ALK,"Alaska Air Group, Inc.",22-10-20
2021,Q1,ALK,"Alaska Air Group, Inc.",26-01-21
2021,Q2,ALK,"Alaska Air Group, Inc.",22-04-21
2021,Q3,ALK,"Alaska Air Group, Inc.",22-07-21
2021,Q4,ALK,"Alaska Air Group, Inc.",21-10-21
2022,Q1,ALK,"Alaska Air Group, Inc.",27-01-22
2022,Q2,ALK,"Alaska Air Group, Inc.",21-04-22
2022,Q3,ALK,"Alaska Air Group, Inc.",21-07-22
2022,Q4,ALK,"Alaska Air Group, Inc.",20-10-22
2023,Q1,ALK,"Alaska Air Group, Inc.",26-01-23
2023,Q2,ALK,"Alaska Air Group, Inc.",20-04-23
2023,Q3,ALK,"Alaska Air Group, Inc.",25-07-23
2023,Q4,ALK,"Alaska Air Group, Inc.",19-10-23
2024,Q1,ALK,"Alaska Air Group, Inc.",25-01-24
2024,Q2,ALK,"Alaska Air Group, Inc.",18-04-24
2024,Q3,ALK,"Alaska Air Group, Inc.",17-07-24
2024,Q4,ALK,"Alaska Air Group, Inc.",31-10-24
2025,Q1,ALK,"Alaska Air Group, Inc.",22-01-25
2025,Q2,ALK,"Alaska Air Group, Inc.",23-04-25
2025,Q3,ALK,"Alaska Air Group, Inc.",23-07-25
2025,Q4,ALK,"Alaska Air Group, Inc.",06-11-25
2020,Q1,ALLE,,18-02-20
2020,Q2,ALLE,,23-04-20
2020,Q3,ALLE,,23-07-20
2020,Q4,ALLE,,22-10-20
2021,Q1,ALLE,,16-02-21
2021,Q2,ALLE,,22-04-21
2021,Q3,ALLE,,22-07-21
2021,Q4,ALLE,,21-10-21
2022,Q1,ALLE,,15-02-22
2022,Q2,ALLE,,26-04-22
2022,Q3,ALLE,,28-07-22
2022,Q4,ALLE,,27-10-22
2023,Q1,ALLE,,22-02-23
2023,Q2,ALLE,,26-04-23
2023,Q3,ALLE,,26-07-23
2023,Q4,ALLE,,31-10-23
2024,Q1,ALLE,,20-02-24
2024,Q2,ALLE,,25-04-24
2024,Q3,ALLE,,24-07-24
2024,Q4,ALLE,,24-10-24
2025,Q1,ALLE,,18-02-25
